ID	SzamlaSzam	DevizaNem	ErtekNap	TranzakcioTipus	PartnerNeve	PartnerSzamlaszama	Osszeg	Kozlemeny	_Besorolas
385	11718011-01234028-51450007	HUF	6/30/2017		Konyvelesi teteldij	01234567-98765432	-11		101
386	11718011-01234028-51450007	HUF	7/17/2017		+IZV 00159066408 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
387	11718011-01234028-51450007	HUF	7/27/2017		+IZV 00159972904 Szekeres Lajos	01234567-98765432	48000		5
388	11718011-01234028-51450007	HUF	7/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
389	11718011-01234028-51450007	HUF	7/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
390	11718011-01234028-51450007	HUF	7/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.46		101
391	11718011-01234028-51450007	HUF	7/31/2017		Konyvelesi teteldij	01234567-98765432	-22		101
392	11718011-01234028-51450007	HUF	8/16/2017		+IZV 00162124394 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
393	11718011-01234028-51450007	HUF	8/22/2017		CASH WITHDRAWAL CAK-LCW/1173/B/0010	01234567-98765432	-60000		111
394	11718011-01234028-51450007	HUF	8/22/2017		CASHIER TRANSACTION FEES CAK-LCW/1173/B/0010	01234567-98765432	-268		101
395	11718011-01234028-51450007	HUF	8/31/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
396	11718011-01234028-51450007	HUF	8/31/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
397	11718011-01234028-51450007	HUF	8/31/2017		Konyvelesi teteldij-PTI	01234567-98765432	-6.35		101
398	11718011-01234028-51450007	HUF	8/31/2017		Konyvelesi teteldij	01234567-98765432	-22		101
399	11718011-01234028-51450007	HUF	8/31/2017		Konyvelesi teteldij-PTIKP	01234567-98765432	-360		101
400	11718011-01234028-51450007	HUF	9/18/2017		+IZV 00165298611 Bond Jakab ES NEJE   L	01234567-98765432	6300		9
401	11718011-01234028-51450007	HUF	9/29/2017		Int.Appl. to   30/09/17	01234567-98765432	7.22		102
402	11718011-01234028-51450007	HUF	9/29/2017		CRT to         30/09/17	01234567-98765432	-1.08		101
403	11718011-01234028-51450007	HUF	9/29/2017		Szlafenntart./zarlati dij	01234567-98765432	-400		101
404	11718011-01234028-51450007	HUF	9/29/2017		Szamlacsomag havi dij	01234567-98765432	-1059		101
405	11718011-01234028-51450007	HUF	9/29/2017		Konyvelesi teteldij-PTI	01234567-98765432	-4.42		101
